iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
6,3756.2,0.060073,920.664,1,1,1592.5,848.78,0.532986
7,5480.52,0.361779,1840.97,1,1,1.55652,3728.42,2395.36
8,5892.36,0.088295,1843.33,1,1,2365.51,3328.68,1.40717
9,6646.83,0.382734,1977.91,1,1,644.587,3247.54,5.03817
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,5094.83,2.18786,1028.06,0,1,25.1663,71.6133,2.8456
1,5086.74,0.976065,1030.74,1,1,15.4046,84.7985,5.50476
2,5056.72,0.108022,1013.96,1,1,8.06781,17.7403,2.1989
3,5119.85,0.100555,1026.73,1,1,24.0133,49.298,2.05294
4,5093.82,0.05847,1033.56,1,1,1.27099,75.7432,59.5941
5,5122.3,0.893056,1038.35,1,1,22.2102,92.3933,4.15995
6,5100.91,3.11922,1034.15,1,1,11.5553,95.8478,8.29467
7,5058.02,0.15767,1018.66,1,1,9.2029,39.7047,4.31437
8,5094.47,1.00719,1023.02,1,1,22.0865,46.739,2.11618
9,5087.49,0.122366,1044.32,1,1,12.5568,139.729,11.1278
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,5244.57,0.136791,1077.13,0,1,55.0414,190.758,3.46573
1,5073.65,0.021583,1016.88,1,1,27.5945,28.0488,1.01647
2,5080.41,0.063983,1016.99,1,1,16.8829,19.7274,1.16849
3,5132.35,0.137762,1070.78,1,1,24.1664,240.886,9.9678
4,5096.44,0.086481,1034.46,1,1,6.11274,82.4347,13.4857
5,5084.26,2.57496,1018.38,1,1,20.8119,40.7942,1.96014
6,5094.43,0.100132,1019.35,1,1,26.2267,31.3201,1.19421
7,5052.63,0.097295,1011.81,1,1,17.1071,15.0225,0.878144
8,5082.72,0.088583,1018.02,1,1,4.33755,20.2287,4.66362
9,5117.59,0.774671,1025.4,1,1,41.4089,53.9661,1.30325
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,5103.86,0.12191,1030.33,0,1,20.2828,70.3721,3.46954
1,5136.18,0.600101,1039.56,1,1,8.9722,77.1451,8.59823
2,5071.52,0.022069,1033.89,1,1,19.3287,104.711,5.41738
3,5044.62,1.86049,1014.15,1,1,10.3019,37.7958,3.6688
4,5084.24,5.18091,1030.02,1,1,10.5841,98.6133,9.31714
5,5087.99,2.20217,1023.78,1,1,13.6308,55.0914,4.04169
6,5066.01,1.1299,1030.17,1,1,7.49507,98.1542,13.0958
7,5051.96,0.059764,1011.05,1,1,13.6682,9.56079,0.699493
8,5060.98,0.046614,1016.29,1,1,6.76794,21.9021,3.23615
9,5055.64,0.318845,1015.6,1,1,2.90952,35.8626,12.326
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,5097.33,1.00741,1033.21,0,1,38.6424,107.764,2.78874
1,5063.09,0.280304,1022.07,1,1,6.53408,53.9325,8.25404
2,5118.26,0.027633,1032.94,1,1,15.0412,58.7988,3.9092
3,5057.35,0.287814,1016.32,1,1,8.12999,38.0611,4.68157
