rank,start_time,end_time,region,parameter_open,parameter_close
0,39082.471364,39082.482187,ZMQ recv state data,74,74
0,38052.760386,39082.538538,State propagation,0,0
0,39082.6179,39082.660561,ZMQ send state data,1,1
0,39082.559524,39082.664467,Runner idle,0,0
0,39082.681715,39082.703824,ZMQ send state data,1,1
0,40087.927873,40087.936974,ZMQ recv state data,75,75
0,39082.685063,40087.986303,State propagation,1,1
0,40090.729404,40090.742501,ZMQ recv state data,76,76
0,39082.625785,40090.839587,State propagation,1,1
0,40091.899927,40091.996698,ZMQ send state data,2,2
0,40090.874191,40092.003711,Runner idle,0,0
0,40092.03327,40092.074107,ZMQ send state data,2,2
0,41095.378433,41095.393157,ZMQ recv state data,77,77
0,40092.039155,41095.479544,State propagation,2,2
0,41096.275183,41096.289011,ZMQ recv state data,78,78
0,40091.920478,41096.378244,State propagation,2,2
0,41096.520797,41096.578725,ZMQ send state data,3,3
0,41095.513535,41096.584049,Runner idle,0,0
0,41096.608035,41096.64195,ZMQ send state data,3,3
0,42104.111285,42104.124519,ZMQ recv state data,79,79
0,41096.612184,42104.214662,State propagation,3,3
0,42107.118163,42107.127989,ZMQ recv state data,80,80
0,41096.531204,42107.182652,State propagation,3,3
0,42107.260922,42108.324296,ZMQ send state data,4,4
0,42107.213491,42108.344168,Runner idle,0,0
0,42108.393775,42108.461127,ZMQ send state data,4,4
0,43115.762627,43115.774949,ZMQ recv state data,81,81
0,42108.403421,43115.851316,State propagation,4,4
0,43116.386046,43116.396654,ZMQ recv state data,82,82
0,42107.271052,43116.461461,State propagation,4,4
0,43117.006241,43117.299938,Filter Update,8,8
0,43115.882572,43117.310418,Runner idle,0,0
0,38052.70305,43117.311725,Iteration,8,8
0,43117.404503,43117.686904,ZMQ send state data,0,0
0,43117.322555,43117.695375,Runner idle,0,0
0,43117.738952,43117.901046,ZMQ send state data,0,0
0,44127.374663,44127.38476,ZMQ recv state data,83,83
0,43117.748649,44127.448366,State propagation,0,0
0,44128.686427,44128.696757,ZMQ recv state data,84,84
0,43117.419414,44128.762117,State propagation,0,0
0,44128.847949,44128.905068,ZMQ send state data,1,1
0,44128.793229,44128.910036,Runner idle,0,0
0,44128.934819,44128.974078,ZMQ send state data,1,1
0,45135.000397,45135.012594,ZMQ recv state data,85,85
0,44128.940231,45135.090079,State propagation,1,1
0,45136.38937,45136.405607,ZMQ recv state data,86,86
0,44128.858478,45136.508153,State propagation,1,1
0,45136.649036,45136.778573,ZMQ send state data,2,2
0,45136.553149,45136.786147,Runner idle,0,0
0,45136.978054,45137.054205,ZMQ send state data,2,2
0,46146.003708,46146.017549,ZMQ recv state data,87,87
0,45136.988855,46146.109373,State propagation,2,2
0,46147.576847,46147.591664,ZMQ recv state data,88,88
0,45136.677465,46149.206125,State propagation,2,2
0,46153.288526,46154.11971,ZMQ send state data,3,3
0,46146.17031,46154.126876,Runner idle,0,0
0,46154.154996,46154.395508,ZMQ send state data,3,3
0,47156.084561,47156.095394,ZMQ recv state data,89,89
0,46154.161597,47156.152653,State propagation,3,3
0,47158.994616,47159.006865,ZMQ recv state data,90,90
0,46153.307951,47159.084269,State propagation,3,3
0,47159.166209,47159.228662,ZMQ send state data,4,4
0,47159.111983,47159.233977,Runner idle,0,0
0,47159.267259,47159.30827,ZMQ send state data,4,4
0,48187.315458,48187.327756,ZMQ recv state data,91,91
0,47159.2725,48187.407249,State propagation,4,4
0,48190.348157,48190.365576,ZMQ recv state data,92,92
0,47159.177555,48190.412121,State propagation,4,4
0,48190.726926,48191.54222,Filter Update,9,9
0,48187.443208,48191.55259,Runner idle,0,0
0,43117.321767,48191.553548,Iteration,9,9
0,48191.643473,48192.71354,ZMQ send state data,0,0
0,48191.561935,48192.724966,Runner idle,0,0
0,48192.878219,48201.264266,ZMQ send state data,0,0
0,49202.988957,49202.99902,ZMQ recv state data,93,93
0,48192.887582,49203.054705,State propagation,0,0
0,49203.188906,49203.195154,ZMQ recv state data,94,94
0,48191.655398,49203.231096,State propagation,0,0
0,49203.290312,49203.33095,ZMQ send state data,1,1
0,49203.251342,49203.334836,Runner idle,0,0
0,49203.351779,49203.381895,ZMQ send state data,1,1
0,50210.97457,50210.983158,ZMQ recv state data,95,95
0,49203.355784,50211.029394,State propagation,1,1
0,50214.553205,50214.569093,ZMQ recv state data,96,96
0,49203.297655,50214.658544,State propagation,1,1
0,50214.753759,50214.832717,ZMQ send state data,2,2
0,50214.692859,50214.840381,Runner idle,0,0
0,50214.871701,50214.932486,ZMQ send state data,2,2
0,51223.905296,51223.930023,ZMQ recv state data,97,97
0,50214.879473,51224.015014,State propagation,2,2
0,51227.455995,51227.473049,ZMQ recv state data,98,98
0,50214.767073,51227.574691,State propagation,2,2
0,51227.704793,51227.782298,ZMQ send state data,3,3
0,51227.635694,51227.786144,Runner idle,0,0
0,51227.842225,51227.916984,ZMQ send state data,3,3
0,52234.203765,52234.217069,ZMQ recv state data,99,99
0,51227.849986,52234.30317,State propagation,3,3
0,52234.486555,52234.496862,ZMQ recv state data,100,100
0,51227.718808,52234.542746,State propagation,3,3
0,52234.616325,52234.6647,ZMQ send state data,4,4
0,52234.570049,52234.66958,Runner idle,0,0
0,52234.687996,52234.767642,ZMQ send state data,4,4
0,53243.402508,53243.421845,ZMQ recv state data,101,101
0,52234.692262,53243.540601,State propagation,4,4
0,53243.786356,53243.799435,ZMQ recv state data,102,102
0,52234.625803,53243.906292,State propagation,4,4
0,53246.035487,53246.200902,Filter Update,10,10
0,53243.61965,53246.209301,Runner idle,0,0
0,48191.561459,53246.210791,Iteration,10,10
