iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.64,0,1586.64
1,0,1,0,1,673.568,0.859442,674.427
2,0,1,1,1,1933.97,1.50776,1935.48
3,0,1,2,1,1794.48,3.61719,1798.1
4,0,1,3,1,1303.55,3.41174,1306.96
5,0,1,4,1,845.231,1.12628,846.358
6,0,2,0,1,728.595,146.807,875.403
7,0,2,1,1,632.482,2.21412,634.696
8,0,2,2,1,2168.27,0.776578,2169.05
9,0,2,3,1,119.695,16.1181,135.813
10,0,2,4,1,1526.08,3.2892,1529.37
11,0,3,0,1,1853.95,10.9138,1864.86
12,0,3,1,1,1087.9,2.05487,1089.96
13,0,3,2,1,1294.93,2.66142,1297.59
14,0,3,3,1,1344.61,0.879409,1345.49
15,0,3,4,1,2201.02,7.55041,2208.57
16,0,4,0,1,429.875,3.01351,432.888
17,0,4,1,1,743.71,3.86308,747.574
18,0,4,2,1,1867.61,2.45356,1870.07
19,0,4,3,1,865.265,1.2768,866.542
20,0,4,4,1,1572.85,1.92452,1574.77
21,0,5,0,1,1060.88,5.08871,1065.97
22,0,5,1,1,1732.29,0.976675,1733.27
23,0,5,2,1,246.934,3.05926,249.993
24,0,5,3,1,944.647,3.6479,948.295
25,0,5,4,1,1859.02,1.45069,1860.47
26,0,6,0,1,1867.09,9.76345,1876.86
27,0,6,1,1,1612.81,1.41501,1614.22
28,0,6,2,1,56.7538,1.99566,58.7494
29,0,6,3,1,1928.24,2.05583,1930.3
30,0,6,4,1,1623.53,4.02934,1627.56
31,0,7,0,1,335.26,0.88544,336.145
32,0,7,1,1,790.742,1.67572,792.418
33,0,7,2,1,912.828,0.803537,913.632
34,0,7,3,1,24.5261,4.13375,28.6599
35,0,7,4,1,845.219,3.21712,848.436
36,0,8,0,1,458.306,829.558,1287.86
37,0,8,1,1,753.424,4.16489,757.588
38,0,8,2,1,874.401,1.1323,875.533
39,0,8,3,1,1842.02,1.61708,1843.64
40,0,8,4,1,1574.67,1.09392,1575.76
41,0,9,0,1,1081.38,1.37218,1082.76
42,0,9,1,1,1160.59,1.45476,1162.05
43,0,9,2,1,1818.57,1.76384,1820.33
44,0,9,3,1,1055.68,1.76632,1057.45
45,0,9,4,1,742.842,1.19721,744.039
46,0,10,0,1,827.405,2.73736,830.143
47,0,10,1,1,1054.73,2.63433,1057.36
48,0,10,2,1,184.428,0.828735,185.256
49,0,10,3,1,2609.47,1.08806,2610.56
50,0,10,4,1,1918.69,0.882417,1919.57
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.95,0,1586.95
1,0,1,0,1,674.545,1.81685,676.362
2,0,1,1,1,1930.23,4.10586,1934.33
3,0,1,2,1,1797.32,1.2005,1798.52
4,0,1,3,1,1304.96,2.9082,1307.87
5,0,1,4,1,847.217,1.2853,848.503
6,0,2,0,1,730.623,146.436,877.059
7,0,2,1,1,628.633,1.07971,629.712
8,0,2,2,1,2167.04,0.671271,2167.71
9,0,2,3,1,126.308,3.53916,129.848
10,0,2,4,1,1530.24,18.5102,1548.75
11,0,3,0,1,1855.8,4.78971,1860.59
12,0,3,1,1,1089.3,1.86669,1091.17
13,0,3,2,1,1298.22,1.87164,1300.09
14,0,3,3,1,1341.37,3.09294,1344.46
15,0,3,4,1,2209.08,1.45721,2210.54
